time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
6.042,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,6.5,-0.7,-1.6,0,-0.1,0,0.2,-0.1,0.2,0,0,0
6.046,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,7.1,-0.5,-1.8,0,-0.1,0,0.2,-0.1,0.2,0,0,0
6.05,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,5.8,-0.6,-1.2,0,-0.1,0,0.1,0,0.1,0,0,0
6.054,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,6.5,-0.6,-1.8,0,-0.09,0,0.1,0,0.1,0,0,0
6.058,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,5.8,-0.6,-1,-0.01,-0.11,0,0.1,0,0.2,0,0,0
6.062,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,6.3,-0.5,-1.5,0,-0.11,0,0.2,0,0.1,0,0,0
6.066,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,7.2,-0.2,-2,0,-0.1,0,0.1,0,0.1,0,0,0
6.07,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,6.7,-0.3,-1.6,0,-0.1,0,0,0,0.2,0,0,0
6.074,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,6.6,-0.5,-1.9,0,-0.09,0,0,0,0.2,0,0,0
6.078,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,7.1,-0.4,-2.1,0,-0.1,0,0.1,0,0.2,0,0,0
6.082,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,6.6,-0.6,-1.8,0,-0.1,0,0.1,0,0.2,0,0,0
6.086,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,7.2,-0.5,-2.4,0,-0.09,0,0.2,0,0.1,0,0,0
6.09,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,7,-0.4,-1.7,0,-0.11,0.01,0.1,0,0.1,0,0,0
6.094,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,6.6,-0.3,-1.8,0,-0.1,0,0.2,0,0.2,0,0,0
6.098,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,6.8,-0.3,-2.4,0,-0.09,0.01,0.1,0,0.2,0,0,0
6.102,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,7.5,-0.6,-2.4,0,-0.09,0,0.2,-0.2,0.3,0,0,0
6.106,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,6.8,-0.4,-2.5,0,-0.08,0.01,0.1,0,0.2,0,0,0
6.11,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,7.4,-0.3,-2.7,0,-0.08,0.01,0.1,0,0.2,0,0,0
6.114,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,6.2,-0.3,-2.2,0,-0.09,0,0.1,0,0.1,0,0,0
6.118,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,6.7,-0.4,-2.5,0,-0.07,0,0.1,0,0.1,0,0,0
6.122,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,6.8,-0.4,-2.3,0,-0.09,0,0.1,0,0.2,0,0,0
6.126,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,6.1,-0.6,-1.7,0,-0.1,0,0.1,0,0.2,0,0,0
6.13,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,6.1,-0.4,-2.1,0,-0.09,0,0.2,-0.1,0.2,0,0,0
6.134,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,6.6,-0.4,-1.8,0,-0.09,0,0.1,0,0.2,0,0,0
6.138,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,5.6,-0.6,-1.6,0,-0.09,0,0.1,0,0.2,0,0,0
6.142,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,6.1,-0.5,-2.2,0,-0.08,0,0.2,-0.1,0.2,0,0,0
6.146,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,6.2,-0.6,-1.7,0,-0.09,0,0.2,0,0.2,0,0,0
6.15,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,5.2,-0.6,-1.6,0,-0.09,0,0.2,0,0.1,0,0,0
6.154,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,6.4,-0.5,-2.1,0,-0.09,0,0.1,-0.1,0.2,0,0,0
6.158,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,6.4,-0.3,-2.3,0,-0.09,0,0.1,0,0.2,0,0,0
6.162,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,5.6,-0.4,-1.9,0,-0.09,0,0.2,-0.1,0.1,0,0,0
6.166,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,6.6,-0.4,-2.3,0,-0.09,0,0.2,0,0.1,0,0,0
6.17,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,5.8,-0.6,-1.7,0,-0.09,0,0.2,0,0.2,0,0,0
6.174,399.274,87.006,-176.652,-135.517,-60.7986,-52.4996,6.3,-0.5,-2.1,0,-0.09,0,0.1,0,0.2,0,0,0
