time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
59.36,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,1.3,1.4,3.1,0,-0.05,0,0.1,-0.1,0.3,0,0,0,
59.364,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,0.6,1.3,3.7,0,-0.06,-0.02,0,0,0.2,0,0,0,
59.368,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,0.9,1.2,3.8,0,-0.06,-0.02,0.1,-0.1,0.3,0,0,0,
59.372,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,1.2,1.1,3.9,0,-0.07,-0.03,0.1,-0.1,0.3,0,0,0,
59.375,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,1.2,1.1,3.9,0,-0.07,-0.03,0.1,-0.1,0.2,0,0,0,
59.38,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,1.3,1.3,3.7,0,-0.06,-0.02,0.1,-0.1,0.2,0,0,0,
59.384,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,1.4,1.2,3.6,0,-0.06,-0.02,0.1,-0.1,0.2,0,0,0,
59.388,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,1.5,1,3.4,0,-0.05,-0.02,0.1,0,0.4,0,0,0,
59.392,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,1.4,1.1,3.4,0,-0.05,-0.03,0.2,0,0.4,0,0,0,
59.395,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,1.3,1.2,3.2,0,-0.04,-0.02,0.3,-0.1,0.4,0,0,0,
59.4,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,1.2,1.2,3.1,0,-0.04,-0.02,0.3,0,0.3,0,0,0,
59.404,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,0.9,1,3.2,0,-0.04,-0.02,0.2,-0.1,0.3,0,0,0,
59.408,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,1.1,1.1,3,0,-0.04,-0.02,0,-0.2,0.2,0,0,0,
59.411,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,0.9,0.8,3.1,0,-0.04,-0.02,0,-0.1,0.1,0,0,0,
59.416,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,0.6,0.7,3.4,0,-0.04,-0.03,0.1,-0.1,0.3,0,0,0,
59.42,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,0.1,0.9,3.7,0,-0.04,-0.03,0.1,-0.1,0.3,0,0,0,
59.424,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,0.4,0.8,3.6,0,-0.04,-0.03,0.2,-0.1,0.3,0,0,0,
59.428,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,1,0.9,3.5,0,-0.04,-0.03,0.2,0,0.3,0,0,0,
59.431,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,1,1,3.4,0,-0.05,-0.02,0.2,0,0.3,0,0,0,
59.435,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,1.1,1,3.4,0,-0.05,-0.02,0.2,-0.1,0.3,0,0,0,
59.439,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,1,1,3.4,0,-0.04,-0.03,0.2,-0.1,0.4,0,0,0,
59.444,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,1,1.1,3.4,0,-0.05,-0.02,0,-0.2,0.3,0,0,0,
59.448,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,1,1.1,3.2,0,-0.04,-0.02,0.1,-0.2,0.3,0,0,0,
59.452,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,0.6,1.2,3.3,0,-0.04,-0.02,0.2,-0.2,0.3,0,0,0,
59.455,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,0.7,1.3,3.1,0,-0.04,-0.01,0.2,-0.1,0.3,0,0,0,
59.459,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,0.5,1.2,3.2,0,-0.04,-0.02,0,-0.2,0.2,0,0,0,
59.464,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,0.3,1.1,3.5,0,-0.04,-0.02,0.1,-0.1,0.3,0,0,0,
59.468,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,0,1.2,3.6,0,-0.05,-0.02,0.3,-0.1,0.3,0,0,0,
59.472,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,0.1,1.2,3.9,0,-0.06,-0.02,0.2,0,0.3,0,0,0,
59.475,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,0,1.2,4,0,-0.06,-0.02,0.1,0,0.4,0,0,0,
59.479,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,0.9,1.2,3.7,0,-0.05,-0.03,0.2,0,0.3,0,0,0,
59.484,399.25,87.001,-176.678,-135.524,-60.7975,-52.4958,0.9,1,3.7,0,-0.06,-0.03,0.2,-0.1,0.3,0,0,0,
