time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
0.004, 399.252, 87.007, -176.679, -135.525, -60.7976, -52.4936, 0.8, -3.3, 3.7, -0.03, -0.09, -0.16, 0.1, -0.1, 0.3, 0, 0, 0
0.008, 399.255, 87.007, -176.673, -135.524, -60.7981, -52.4949, 1.1, -3.6, 3.8, -0.03, -0.09, -0.16, 0, 0, 0.3, 0, 0, 0
0.012, 399.252, 87, -176.672, -135.524, -60.7984, -52.4954, 0.7, -3.3, 3.9, -0.03, -0.09, -0.16, 0, -0.1, 0.3, 0, 0, 0
0.016, 399.252, 87.003, -176.674, -135.525, -60.7976, -52.4938, 0.5, -3.4, 4, -0.03, -0.09, -0.16, 0, 0, 0.2, 0, 0, 0
0.02, 399.255, 87.003, -176.667, -135.524, -60.7982, -52.4952, 0.1, -3.6, 4.1, -0.03, -0.09, -0.17, 0, 0, 0.1, 0, 0, 0
0.024, 399.257, 87.003, -176.662, -135.523, -60.7982, -52.4956, 1.1, -3.4, 3.9, -0.02, -0.1, -0.17, 0.2, 0, 0.3, 0, 0, 0
0.028, 399.26, 87.003, -176.656, -135.521, -60.7988, -52.497, 0.9, -3.4, 3.6, -0.03, -0.09, -0.16, 0.1, 0, 0.4, 0, 0, 0
0.032, 399.263, 87.003, -176.649, -135.52, -60.7994, -52.4984, 1.1, -3.5, 3.7, -0.02, -0.08, -0.17, 0, 0, 0.2, 0, 0, 0
0.036, 399.266, 87.003, -176.642, -135.518, -60.8, -52.4997, 1.3, -3.5, 3.4, -0.03, -0.08, -0.16, 0.1, 0, 0.1, 0, 0, 0
0.04, 399.269, 87.003, -176.635, -135.517, -60.8006, -52.5011, 1.5, -3.5, 3.4, -0.02, -0.08, -0.17, 0.1, 0, 0.2, 0, 0, 0
0.044, 399.269, 86.996, -176.627, -135.515, -60.8014, -52.5031, 1.2, -3.6, 3.3, -0.03, -0.08, -0.16, 0.2, 0, 0.2, 0, 0, 0
0.048, 399.272, 86.996, -176.623, -135.515, -60.8014, -52.5033, 1.3, -3.5, 3.2, -0.03, -0.08, -0.16, 0, 0, 0.2, 0, 0, 0
0.052, 399.271, 86.988, -176.615, -135.514, -60.8022, -52.5052, 1, -3.5, 3.3, -0.03, -0.08, -0.16, 0, 0, 0.2, 0, 0, 0
0.056, 399.275, 86.988, -176.609, -135.512, -60.8028, -52.5066, 0.5, -3.3, 3.3, -0.03, -0.07, -0.16, 0, 0, 0.2, 0, 0, 0
0.06, 399.274, 86.981, -176.603, -135.512, -60.8031, -52.5074, 1, -3.4, 3.2, -0.03, -0.07, -0.16, 0.1, -0.1, 0.3, 0, 0, 0
0.064, 399.274, 86.973, -176.595, -135.511, -60.8039, -52.5095, 0.8, -3.3, 3.2, -0.03, -0.07, -0.16, 0.1, -0.1, 0.3, 0, 0, 0
0.068, 399.273, 86.967, -176.592, -135.513, -60.8035, -52.509, 0.8, -3.3, 3.5, -0.03, -0.08, -0.15, 0, -0.2, 0.2, 0, 0, 0
0.072, 399.272, 86.96, -176.586, -135.513, -60.8038, -52.5098, 0.8, -3.3, 3.3, -0.03, -0.08, -0.15, 0, 0, 0.2, 0, 0, 0
0.076, 399.27, 86.953, -176.585, -135.515, -60.8028, -52.5082, 1.2, -3.3, 3.3, -0.02, -0.09, -0.14, 0, 0, 0.1, 0, 0, 0
0.08, 399.268, 86.946, -176.582, -135.517, -60.8025, -52.5079, 0.9, -3.4, 3.5, -0.02, -0.09, -0.14, 0, 0, 0.2, 0, 0, 0
