px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],px_obj[mm],py_obj[mm],pz_obj[mm],prx_obj[deg],pry_obj[deg],prz_obj[deg]
399.832,85.704,-176.263,-134.988,-60.872,-53.048,0.577,-2.996,3.658,-0.016,-0.075,-0.155,607.461,70.916,-230.191,-0.99,20.128,-4.174
398.89,85.705,-173.657,-135.897,-60.771,-52.225,0.263,-3.374,3.769,-0.025,-0.074,-0.166,606.133,70.842,-229.033,-1.223,20.527,-4.226
399.754,85.475,-175.742,-135.066,-60.868,-52.989,0.616,-2.772,3.794,-0.014,-0.082,-0.147,607.35,70.634,-229.784,-1.013,20.16,-4.191
398.958,85.432,-173.522,-135.825,-60.786,-52.306,0.821,-3.186,3.875,-0.026,-0.082,-0.16,606.232,70.514,-228.767,-1.21,20.491,-4.239
399.704,85.221,-175.256,-135.118,-60.87,-52.957,0.453,-2.912,3.83,-0.016,-0.084,-0.15,607.279,70.315,-229.362,-1.033,20.177,-4.212
399.034,85.193,-173.329,-135.768,-60.796,-52.369,0.333,-2.451,4.03,-0.015,-0.086,-0.134,606.332,70.235,-228.473,-1.198,20.463,-4.248
399.68,84.994,-174.816,-135.153,-60.869,-52.935,0.272,-2.798,3.989,-0.017,-0.084,-0.147,607.239,70.049,-228.971,-1.044,20.191,-4.224
399.105,84.975,-173.104,-135.719,-60.804,-52.42,0.804,-2.857,3.682,-0.019,-0.082,-0.145,606.423,69.994,-228.166,-1.187,20.44,-4.253
399.688,84.794,-174.376,-135.174,-60.866,-52.921,0.558,-2.901,3.899,-0.016,-0.08,-0.151,607.236,69.829,-228.567,-1.049,20.201,-4.23
399.167,84.703,-172.823,-135.677,-60.808,-52.469,0.535,-3.07,3.872,-0.022,-0.082,-0.153,606.5,69.686,-227.817,-1.176,20.422,-4.261
399.678,84.491,-173.991,-135.186,-60.862,-52.92,0.276,-3.01,3.838,-0.019,-0.076,-0.153,607.217,69.491,-228.206,-1.05,20.207,-4.24
399.161,84.402,-172.647,-135.639,-60.808,-52.51,0.565,-3.297,3.85,-0.025,-0.085,-0.161,606.506,69.364,-227.594,-1.163,20.409,-4.266
399.536,84.194,-173.76,-135.205,-60.854,-52.905,0.494,-3.203,3.742,-0.022,-0.077,-0.16,607.065,69.189,-228.018,-1.05,20.219,-4.241
399.01,84.089,-172.576,-135.617,-60.805,-52.525,0.293,-2.589,3.852,-0.013,-0.083,-0.138,606.362,69.079,-227.499,-1.153,20.402,-4.257
399.304,83.842,-173.64,-135.245,-60.846,-52.879,0.893,-2.807,3.819,-0.018,-0.087,-0.145,606.81,68.801,-227.972,-1.057,20.239,-4.253
398.746,83.711,-172.702,-135.674,-60.789,-52.506,-0.25,-2.831,4.079,-0.016,-0.085,-0.15,606.059,68.584,-227.741,-1.16,20.434,-4.291
398.96,83.443,-173.802,-135.362,-60.819,-52.816,0.907,-2.883,3.656,-0.013,-0.08,-0.145,606.397,68.244,-228.355,-1.076,20.3,-4.299
398.503,83.3,-173.007,-135.755,-60.766,-52.475,0.266,-3.222,3.912,-0.026,-0.081,-0.158,605.762,68.027,-228.207,-1.17,20.479,-4.333
399.111,83.199,-174.229,-135.432,-60.776,-52.734,0.862,-2.946,3.892,-0.021,-0.088,-0.152,606.503,68.092,-228.977,-1.066,20.354,-4.274
399.135,83.258,-173.737,-135.763,-60.706,-52.379,0.551,-3.074,3.789,-0.018,-0.077,-0.153,606.38,68.35,-229.094,-1.125,20.522,-4.228
399.838,83.017,-174.983,-135.509,-60.726,-52.638,0.025,-2.885,4.143,-0.015,-0.088,-0.147,607.18,68.028,-229.955,-1.052,20.416,-4.241
399.915,82.829,-174.53,-135.879,-60.675,-52.338,0.672,-3.032,3.738,-0.021,-0.08,-0.156,607.083,67.691,-230.113,-1.141,20.584,-4.295
400.61,82.637,-175.628,-135.653,-60.677,-52.549,0.57,-3.255,3.988,-0.027,-0.095,-0.164,607.861,67.515,-230.906,-1.064,20.5,-4.281
400.805,82.518,-175.191,-136.001,-60.612,-52.237,0.288,-3.037,3.887,-0.017,-0.087,-0.155,607.887,67.374,-231.09,-1.133,20.671,-4.297
401.677,82.345,-176.192,-135.774,-60.617,-52.444,0.668,-3.072,3.656,-0.018,-0.081,-0.156,608.845,67.231,-231.778,-1.058,20.585,-4.28
402.078,82.275,-175.758,-136.069,-60.564,-52.169,0.557,-3.316,4.027,-0.021,-0.097,-0.167,609.109,67.182,-231.861,-1.119,20.728,-4.283
403.06,82.169,-176.784,-135.852,-60.565,-52.354,0.43,-3.151,4.124,-0.021,-0.097,-0.164,610.174,67.151,-232.598,-1.044,20.648,-4.253
403.555,82.121,-176.488,-136.148,-60.506,-52.073,1.084,-3.517,3.732,-0.026,-0.087,-0.169,610.527,67.144,-232.837,-1.101,20.796,-4.25
404.54,82.026,-177.549,-135.961,-60.499,-52.231,0.586,-3.035,3.979,-0.019,-0.095,-0.154,611.581,67.128,-233.668,-1.03,20.732,-4.22
404.997,81.99,-177.392,-136.275,-60.44,-51.935,0.53,-3.429,3.989,-0.025,-0.094,-0.167,611.888,67.128,-234.07,-1.094,20.886,-4.219
405.938,81.922,-178.457,-136.136,-60.434,-52.048,0.692,-3.217,3.968,-0.023,-0.099,-0.162,612.881,67.135,-234.964,-1.04,20.839,-4.192
406.411,81.938,-178.315,-136.43,-60.372,-51.764,0.896,-3.122,3.877,-0.02,-0.097,-0.159,613.209,67.214,-235.365,-1.095,20.989,-4.184
407.345,81.882,-179.359,-136.289,-60.357,-51.884,1.138,-3.122,3.869,-0.02,-0.099,-0.157,614.19,67.22,-236.257,-1.034,20.947,-4.159
407.859,81.931,-179.267,-136.562,-60.291,-51.614,0.785,-3.35,4.08,-0.019,-0.102,-0.167,614.565,67.356,-236.688,-1.078,21.092,-4.143
408.8,81.912,-180.274,-136.43,-60.278,-51.715,1.005,-3.278,4.013,-0.022,-0.102,-0.162,615.553,67.438,-237.551,-1.021,21.052,-4.108
409.324,81.931,-180.199,-136.7,-60.221,-51.455,1.05,-3.121,3.995,-0.024,-0.103,-0.159,615.943,67.51,-237.973,-1.073,21.189,-4.101
410.242,81.937,-181.187,-136.566,-60.201,-51.552,0.588,-3.124,3.716,-0.021,-0.093,-0.158,616.905,67.641,-238.832,-1.009,21.154,-4.06
410.719,81.969,-181.166,-136.821,-60.14,-51.305,0.905,-3.07,3.986,-0.02,-0.104,-0.155,617.25,67.735,-239.3,-1.053,21.289,-4.049
411.578,81.962,-182.168,-136.708,-60.12,-51.392,1.009,-3.142,3.924,-0.02,-0.104,-0.16,618.143,67.818,-240.2,-0.996,21.261,-4.018
412.036,82.04,-182.205,-136.961,-60.055,-51.138,0.403,-3.298,4.115,-0.021,-0.101,-0.167,618.468,67.994,-240.731,-1.037,21.398,-3.998
412.858,82.043,-183.176,-136.858,-60.035,-51.216,0.93,-3.034,3.997,-0.021,-0.104,-0.156,619.322,68.085,-241.614,-0.984,21.373,-3.968
413.296,82.108,-183.199,-137.102,-59.974,-50.976,1.478,-3.233,3.894,-0.017,-0.108,-0.162,619.63,68.227,-242.111,-1.024,21.504,-3.953
414.089,82.135,-184.12,-137.011,-59.949,-51.041,0.652,-3.039,3.977,-0.021,-0.102,-0.158,620.446,68.352,-242.973,-0.971,21.488,-3.92
414.549,82.2,-184.155,-137.251,-59.883,-50.806,0.425,-3.28,4.157,-0.023,-0.103,-0.165,620.774,68.49,-243.486,-1.008,21.621,-3.906
415.326,82.239,-185.023,-137.158,-59.858,-50.873,0.951,-3.449,3.847,-0.028,-0.1,-0.173,621.575,68.626,-244.293,-0.954,21.604,-3.873
415.792,82.392,-185.041,-137.378,-59.794,-50.645,0.892,-3.111,3.954,-0.018,-0.106,-0.161,621.919,68.895,-244.761,-0.985,21.729,-3.846
416.582,82.465,-185.875,-137.291,-59.768,-50.704,1.095,-2.893,3.977,-0.016,-0.111,-0.154,622.731,69.077,-245.543,-0.933,21.714,-3.81
417.051,82.592,-185.896,-137.495,-59.709,-50.491,1.118,-3.522,3.975,-0.029,-0.112,-0.176,623.087,69.317,-245.981,-0.962,21.83,-3.785
417.818,82.654,-186.703,-137.406,-59.686,-50.551,1.325,-3.348,4.048,-0.023,-0.118,-0.168,623.878,69.485,-246.727,-0.911,21.813,-3.749
418.268,82.723,-186.758,-137.611,-59.629,-50.349,0.711,-3.053,4.242,-0.019,-0.118,-0.161,624.213,69.622,-247.193,-0.943,21.927,-3.736
419.001,82.766,-187.544,-137.524,-59.608,-50.408,0.55,-3.022,4.161,-0.024,-0.115,-0.16,624.97,69.769,-247.915,-0.894,21.909,-3.702
419.457,82.856,-187.605,-137.71,-59.553,-50.216,0.918,-3.485,4.178,-0.024,-0.118,-0.171,625.32,69.955,-248.361,-0.92,22.016,-3.68
420.176,82.884,-188.386,-137.636,-59.532,-50.269,1.097,-3.165,4.218,-0.021,-0.119,-0.167,626.058,70.063,-249.095,-0.876,22.003,-3.653
420.631,82.933,-188.467,-137.82,-59.482,-50.086,1.234,-2.936,4.325,-0.021,-0.128,-0.158,626.408,70.181,-249.543,-0.906,22.105,-3.639
421.322,82.893,-189.253,-137.755,-59.457,-50.133,1.099,-3.176,3.995,-0.026,-0.113,-0.163,627.111,70.215,-250.303,-0.862,22.098,-3.613
421.757,82.873,-189.368,-137.945,-59.407,-49.955,1.301,-3.31,4.039,-0.024,-0.119,-0.169,627.436,70.221,-250.795,-0.895,22.203,-3.611
422.474,82.811,-190.159,-137.892,-59.384,-49.999,0.949,-3.18,4.131,-0.026,-0.117,-0.163,628.159,70.2,-251.572,-0.856,22.199,-3.596
422.951,82.786,-190.286,-138.069,-59.334,-49.825,0.692,-3.032,4.316,-0.021,-0.122,-0.162,628.531,70.231,-252.06,-0.885,22.299,-3.585
423.677,82.71,-191.05,-138.014,-59.313,-49.87,1.304,-3.163,4.231,-0.027,-0.125,-0.165,629.267,70.202,-252.801,-0.848,22.293,-3.568
424.17,82.682,-191.224,-138.192,-59.262,-49.7,1.35,-3.238,4.127,-0.026,-0.121,-0.167,629.653,70.21,-253.338,-0.876,22.394,-3.563
424.892,82.614,-191.967,-138.139,-59.242,-49.742,0.862,-3.172,4.258,-0.03,-0.121,-0.165,630.384,70.191,-254.061,-0.84,22.388,-3.545
425.409,82.583,-192.105,-138.303,-59.198,-49.586,1.425,-3.266,4.042,-0.03,-0.125,-0.168,630.804,70.193,-254.525,-0.869,22.479,-3.541
426.153,82.526,-192.831,-138.254,-59.177,-49.624,1.305,-3.351,4.11,-0.03,-0.125,-0.167,631.555,70.188,-255.239,-0.833,22.476,-3.522
426.67,82.509,-192.994,-138.414,-59.13,-49.468,1.263,-3.222,3.982,-0.02,-0.119,-0.163,631.974,70.217,-255.732,-0.858,22.568,-3.514
427.381,82.427,-193.727,-138.379,-59.108,-49.498,1.284,-2.943,4.162,-0.021,-0.124,-0.157,632.685,70.169,-256.473,-0.827,22.57,-3.501
427.877,82.404,-193.92,-138.54,-59.059,-49.342,1.386,-3.306,4.053,-0.026,-0.125,-0.166,633.081,70.187,-257.001,-0.852,22.663,-3.494
428.612,82.347,-194.643,-138.502,-59.037,-49.371,1.06,-3.535,4.012,-0.036,-0.117,-0.174,633.817,70.177,-257.728,-0.82,22.665,-3.478
429.147,82.308,-194.869,-138.667,-58.988,-49.219,1.383,-3.701,3.946,-0.035,-0.125,-0.18,634.248,70.156,-258.295,-0.846,22.759,-3.477
429.863,82.263,-195.573,-138.626,-58.963,-49.246,1.363,-3.059,3.788,-0.027,-0.116,-0.157,634.965,70.176,-259.009,-0.811,22.762,-3.455
430.404,82.238,-195.769,-138.761,-58.913,-49.119,0.979,-3.25,4.159,-0.027,-0.125,-0.164,635.413,70.187,-259.509,-0.824,22.847,-3.448
431.129,82.178,-196.465,-138.723,-58.886,-49.152,1.66,-3.444,4.02,-0.039,-0.128,-0.185,636.136,70.155,-260.221,-0.789,22.852,-3.437
431.679,82.176,-196.649,-138.858,-58.845,-49.017,1.416,-3.296,4.248,-0.088,-0.147,-0.251,636.6,70.208,-260.689,-0.81,22.931,-3.425
432.436,82.145,-197.279,-138.818,-58.824,-49.044,1.021,-4.412,4.65,-0.202,-0.152,-0.431,637.362,70.236,-261.317,-0.778,22.93,-3.406
432.974,82.09,-197.445,-138.968,-58.784,-48.911,1.485,-4.26,4.035,-0.202,-0.137,-0.438,637.805,70.176,-261.782,-0.806,23.014,-3.412
433.655,81.965,-197.867,-138.927,-58.774,-48.954,1.229,-4.417,4.369,-0.177,-0.139,-0.395,638.495,70.045,-262.174,-0.782,23.005,-3.41
434.14,81.838,-197.653,-139.032,-58.759,-48.871,1.174,-3.669,4.263,-0.096,-0.123,-0.266,638.922,69.868,-262.137,-0.812,23.055,-3.428
434.704,81.658,-197.854,-138.975,-58.766,-48.942,1.607,-3.26,4.11,-0.024,-0.139,-0.161,639.511,69.623,-262.244,-0.795,23.029,-3.444
435.014,81.501,-197.636,-139.061,-58.756,-48.878,1.26,-3.189,4.314,-0.024,-0.134,-0.158,639.774,69.407,-262.167,-0.821,23.068,-3.464
435.471,81.372,-197.84,-138.969,-58.767,-48.966,1.46,-2.51,3.868,0.041,-0.107,-0.056,640.277,69.272,-262.222,-0.793,23.026,-3.462
435.848,81.278,-197.634,-139.022,-58.764,-48.917,1.415,-2.039,4.113,0.088,-0.103,0.007,640.629,69.175,-262.093,-0.811,23.048,-3.466
436.437,81.172,-197.865,-138.936,-58.774,-48.994,1.051,-1.638,4.059,0.132,-0.103,0.057,641.264,69.081,-262.183,-0.785,23.008,-3.459
436.896,81.119,-197.727,-138.998,-58.763,-48.926,1.707,-2.113,4.085,0.11,-0.109,0.032,641.69,69.067,-262.156,-0.801,23.039,-3.45
437.545,81.06,-198.009,-138.914,-58.764,-48.989,1.447,-2.409,4.299,0.053,-0.125,-0.034,642.378,69.07,-262.325,-0.769,23.008,-3.429
438.084,81.008,-197.933,-138.979,-58.742,-48.917,1.216,-2.68,3.773,0.008,-0.11,-0.106,642.876,69.068,-262.39,-0.778,23.047,-3.416
438.747,80.926,-198.268,-138.929,-58.731,-48.955,1.646,-2.966,4.206,-0.005,-0.135,-0.132,643.554,69.031,-262.685,-0.75,23.036,-3.401
439.292,80.833,-198.26,-139.007,-58.705,-48.881,0.938,-2.749,4.336,0.008,-0.126,-0.104,644.047,68.96,-262.845,-0.76,23.083,-3.397
439.963,80.726,-198.61,-138.944,-58.695,-48.93,1.592,-2.666,4.005,0.025,-0.128,-0.088,644.74,68.903,-263.138,-0.727,23.067,-3.379
440.525,80.662,-198.591,-138.99,-58.681,-48.87,1.605,-3.204,4.098,-0.018,-0.128,-0.157,645.275,68.905,-263.215,-0.734,23.094,-3.361
441.243,80.538,-198.908,-138.915,-58.688,-48.933,1.257,-3.334,3.998,-0.015,-0.13,-0.155,646.031,68.812,-263.413,-0.71,23.061,-3.35
441.841,80.452,-198.907,-138.966,-58.679,-48.878,1.433,-3.264,4.023,-0.011,-0.126,-0.143,646.603,68.753,-263.503,-0.724,23.086,-3.344
442.583,80.342,-199.241,-138.9,-58.682,-48.929,1.292,-2.837,4.094,0.001,-0.125,-0.113,647.377,68.685,-263.741,-0.7,23.06,-3.33
443.192,80.268,-199.271,-138.949,-58.67,-48.873,1.173,-2.775,4.23,-0.003,-0.126,-0.129,647.959,68.651,-263.869,-0.71,23.087,-3.32
443.896,80.161,-199.613,-138.896,-58.671,-48.92,1.617,-2.502,3.981,0.033,-0.12,-0.076,648.686,68.556,-264.136,-0.69,23.066,-3.314
444.517,80.096,-199.625,-138.945,-58.662,-48.866,1.346,-2.244,3.899,0.056,-0.104,-0.036,649.282,68.525,-264.235,-0.702,23.09,-3.306
445.267,80.047,-199.933,-138.879,-58.664,-48.909,0.861,-3.145,4.218,0.004,-0.125,-0.117,650.064,68.546,-264.453,-0.678,23.065,-3.284
445.905,79.98,-199.961,-138.922,-58.655,-48.862,1.322,-3.086,3.931,-0.016,-0.125,-0.154,650.679,68.51,-264.56,-0.687,23.087,-3.276
446.629,79.882,-200.284,-138.865,-58.657,-48.91,1.797,-3.068,3.903,-0.001,-0.129,-0.131,651.43,68.434,-264.802,-0.667,23.064,-3.268
447.235,79.837,-200.352,-138.889,-58.647,-48.867,1.166,-3.452,4.135,-0.042,-0.125,-0.194,652.023,68.469,-264.926,-0.668,23.08,-3.246
447.935,79.767,-200.718,-138.813,-58.647,-48.908,0.728,-3.597,4.335,-0.11,-0.113,-0.297,652.76,68.514,-265.192,-0.638,23.052,-3.21
448.523,79.711,-200.764,-138.81,-58.65,-48.889,0.177,-4.076,4.81,-0.152,-0.118,-0.373,653.357,68.536,-265.225,-0.639,23.049,-3.188
449.158,79.626,-201.103,-138.709,-58.669,-48.968,0.754,-4.151,4.598,-0.166,-0.138,-0.391,654.052,68.498,-265.381,-0.615,22.997,-3.172
449.63,79.57,-201.331,-138.749,-58.661,-48.923,-0.237,-3.855,5.962,-0.111,-0.287,-0.404,654.503,68.473,-265.682,-0.624,23.018,-3.164
450.192,79.509,-201.806,-138.702,-58.662,-48.955,-0.539,-2.85,7.605,-0.025,-0.48,-0.405,655.087,68.456,-266.094,-0.606,23.0,-3.15
450.642,79.468,-201.974,-138.742,-58.654,-48.912,-2.787,-2.022,8.464,0.058,-0.418,-0.397,655.516,68.441,-266.334,-0.616,23.02,-3.144
451.152,79.449,-202.273,-138.686,-58.663,-48.956,-4.47,-1.107,8.859,0.131,-0.315,-0.41,656.057,68.448,-266.537,-0.6,22.994,-3.134
451.52,79.481,-202.314,-138.709,-58.659,-48.92,-5.154,-1.209,9.014,0.106,-0.259,-0.519,656.414,68.53,-266.62,-0.606,23.005,-3.121
451.923,79.504,-202.55,-138.658,-58.663,-48.958,-4.633,-2.023,8.941,0.054,-0.241,-0.641,656.845,68.59,-266.775,-0.59,22.983,-3.109
452.22,79.522,-202.6,-138.679,-58.65,-48.937,-4.61,-2.194,9.525,0.014,-0.303,-0.71,657.123,68.62,-266.887,-0.588,23.0,-3.106
452.598,79.514,-202.892,-138.621,-58.637,-49.0,-5.145,-2.341,10.187,-0.009,-0.417,-0.757,657.515,68.601,-267.135,-0.554,22.988,-3.105
452.877,79.523,-203.015,-138.636,-58.617,-48.995,-4.74,-2.156,10.432,-0.002,-0.521,-0.793,657.771,68.593,-267.325,-0.545,23.007,-3.109
453.178,79.525,-203.304,-138.565,-58.618,-49.068,-5.298,-2.174,11.06,-0.001,-0.552,-0.818,658.101,68.576,-267.519,-0.518,22.98,-3.111
453.358,79.539,-203.416,-138.551,-58.62,-49.087,-5.03,-1.865,10.594,0.0,-0.489,-0.83,658.289,68.571,-267.605,-0.514,22.973,-3.116
453.531,79.539,-203.728,-138.458,-58.639,-49.179,-5.379,-1.879,10.646,0.003,-0.459,-0.823,658.513,68.544,-267.745,-0.492,22.925,-3.121
453.53,79.524,-203.935,-138.423,-58.655,-49.222,-5.795,-1.474,11.878,0.036,-0.616,-0.769,658.537,68.48,-267.867,-0.491,22.901,-3.134
453.533,79.545,-204.343,-138.317,-58.677,-49.325,-5.117,-1.425,12.819,0.043,-0.895,-0.758,658.601,68.476,-268.076,-0.467,22.846,-3.137
453.476,79.64,-204.562,-138.246,-58.702,-49.389,-4.897,-2.038,12.939,-0.018,-0.999,-0.841,658.591,68.567,-268.14,-0.459,22.802,-3.137
453.461,79.68,-204.93,-138.085,-58.745,-49.537,-4.494,-2.091,12.527,-0.055,-0.922,-0.889,658.676,68.597,-268.183,-0.43,22.712,-3.135
453.41,79.7,-205.133,-137.947,-58.798,-49.667,-5.796,-2.338,11.536,-0.035,-0.558,-0.888,658.72,68.578,-268.07,-0.418,22.624,-3.144
453.418,79.684,-205.505,-137.76,-58.858,-49.851,-6.901,-1.77,10.185,0.024,-0.17,-0.828,658.846,68.491,-268.041,-0.393,22.512,-3.159
453.401,79.677,-205.794,-137.639,-58.906,-49.972,-7.252,-1.216,8.998,0.092,0.065,-0.756,658.913,68.428,-268.049,-0.385,22.434,-3.172
453.431,79.689,-206.29,-137.48,-58.95,-50.118,-6.602,-1.409,9.169,0.077,0.018,-0.784,659.039,68.423,-268.222,-0.359,22.344,-3.173
453.404,79.705,-206.696,-137.377,-58.984,-50.214,-6.284,-1.834,9.942,0.027,-0.198,-0.822,659.079,68.422,-268.403,-0.347,22.281,-3.175
453.421,79.709,-207.237,-137.227,-59.025,-50.353,-5.87,-2.079,11.04,-0.0,-0.437,-0.845,659.186,68.406,-268.64,-0.323,22.197,-3.177
453.403,79.713,-207.628,-137.107,-59.067,-50.467,-5.896,-1.913,10.895,-0.004,-0.478,-0.854,659.244,68.377,-268.765,-0.31,22.123,-3.184
453.425,79.702,-208.094,-136.938,-59.123,-50.628,-6.361,-1.445,11.069,0.034,-0.436,-0.816,659.372,68.324,-268.865,-0.291,22.021,-3.192
453.411,79.721,-208.45,-136.814,-59.186,-50.74,-6.52,-1.198,10.892,0.064,-0.366,-0.802,659.452,68.316,-268.899,-0.295,21.932,-3.198
453.407,79.733,-208.916,-136.649,-59.248,-50.89,-6.295,-1.081,10.659,0.074,-0.315,-0.808,659.556,68.301,-268.992,-0.283,21.828,-3.203
453.336,79.752,-209.304,-136.52,-59.297,-51.01,-5.901,-1.319,10.498,0.068,-0.356,-0.828,659.569,68.291,-269.082,-0.275,21.746,-3.209
