Autopick
Version 0.1
"See slides for hand base, hand coordinates"
HandX,Y,Z,RX,RY,RZ,#Tool,WorkX,Y,Z,RX,RY,RZ,#Model,HandRotmat4
-35.719203949,-35.719203949,-35.719203949,2.50447783401e-06,90.0,90.0,T0,0,0,0,0,0,0,M0,"-4.37113882867e-08,-4.37113882867e-08,-1.0,0.0,-1.0,1.91068546516e-15,4.37113882867e-08,0.0,0.0,0.999999940395,-4.3711384734e-08,0.0,-35.719203949,-34.9035835266,-166.0,1.0"
-35.719203949,-35.719203949,-35.719203949,2.13452871914e-13,90.0000076294,45.0000038147,T0,0,0,0,0,0,0,M0,"-4.37113882867e-08,-4.37113882867e-08,-1.0,0.0,-0.707106769085,0.70710670948,3.72545503696e-15,0.0,0.707106769085,0.70710670948,-6.1817232222e-08,0.0,-35.719203949,-34.9035835266,-166.0,1.0"
-35.719203949,-35.719203949,-35.719203949,-2.50447828876e-06,90.0,-2.50447828876e-06,T0,0,0,0,0,0,0,M0,"-4.37113882867e-08,-4.37113882867e-08,-1.0,0.0,4.37113882867e-08,0.999999940395,-4.37113882867e-08,0.0,1.0,-4.37113882867e-08,-4.3711384734e-08,0.0,-35.719203949,-34.9035835266,-166.0,1.0"
-35.719203949,-35.719203949,-35.719203949,-3.54186681761e-06,90.0,-45.0000038147,T0,0,0,0,0,0,0,M0,"-4.37113882867e-08,-4.37113882867e-08,-1.0,0.0,0.707106769085,0.70710670948,-6.1817232222e-08,0.0,0.707106769085,-0.70710670948,-3.72545503696e-15,0.0,-35.719203949,-34.9035835266,-166.0,1.0"
-35.719203949,-35.719203949,-35.719203949,-2.50447760664e-06,90.0,-90.0000076294,T0,0,0,0,0,0,0,M0,"-4.37113882867e-08,-4.37113882867e-08,-1.0,0.0,1.0,-8.7422769468e-08,-4.3711384734e-08,0.0,-8.74227765735e-08,-0.999999940395,4.37113882867e-08,0.0,-35.719203949,-34.9035835266,-166.0,1.0"
-35.719203949,-35.719203949,-35.719203949,-3.62731410663e-13,90.0,-135.0,T0,0,0,0,0,0,0,M0,"-4.37113882867e-08,-4.37113882867e-08,-1.0,0.0,0.70710682869,-0.707106649876,-6.33085680843e-15,0.0,-0.70710670948,-0.707106769085,6.1817232222e-08,0.0,-35.719203949,-34.9035835266,-166.0,1.0"
-35.719203949,-35.719203949,-35.719203949,2.50447806138e-06,90.0,180.0,T0,0,0,0,0,0,0,M0,"-4.37113882867e-08,-4.37113882867e-08,-1.0,0.0,-1.19248806385e-08,-0.999999940395,4.3711384734e-08,0.0,-1.0,1.19248815267e-08,4.37113882867e-08,0.0,-35.719203949,-34.9035835266,-166.0,1.0"
-35.719203949,-35.719203949,-35.719203949,3.54186681761e-06,90.0,135.000015259,T0,0,0,0,0,0,0,M0,"-4.37113882867e-08,-4.37113882867e-08,-1.0,0.0,-0.707106649876,-0.70710682869,6.1817232222e-08,0.0,-0.707106888294,0.707106590271,1.24889722587e-14,0.0,-35.719203949,-34.9035835266,-166.0,1.0"
-5.78769302368,-5.78769302368,-5.78769302368,2.50447783401e-06,90.0,90.0,T0,0,0,0,0,0,0,M0,"-4.37113882867e-08,-4.37113882867e-08,-1.0,0.0,-1.0,1.91068546516e-15,4.37113882867e-08,0.0,0.0,0.999999940395,-4.3711384734e-08,0.0,-5.78769302368,-9.98651790619,-166.0,1.0"
-5.78769302368,-5.78769302368,-5.78769302368,2.13452871914e-13,90.0000076294,45.0000038147,T0,0,0,0,0,0,0,M0,"-4.37113882867e-08,-4.37113882867e-08,-1.0,0.0,-0.707106769085,0.70710670948,3.72545503696e-15,0.0,0.707106769085,0.70710670948,-6.1817232222e-08,0.0,-5.78769302368,-9.98651790619,-166.0,1.0"
