Autopick
Version 0.11
"See slides for hand base, hand coordinates"
HandX,Y,Z,RX,RY,RZ,#Tool,WorkX,Y,Z,RX,RY,RZ,#Model,HandRotmat4
38.9342575073,22.385389328,-13.0475978851,-89.9999979602,-0.0,114.617199569,T0,0,0,0,0,0,0,M0,"-0.416553705931,0.909111082554,0.0,0.0,-3.23655378054e-08,-1.48298511249e-08,-1.0,0.0,-0.909111082554,-0.416553705931,3.56012961333e-08,0.0,38.9342575073,22.385389328,-13.0475978851,1.0"
38.9342575073,22.385389328,-13.0475978851,-89.9999971153,45.0000003179,114.617201874,T0,0,0,0,0,0,0,M0,"-0.294547975063,0.642838597298,-0.707106769085,0.0,0.294547915459,-0.642838597298,-0.707106769085,0.0,-0.909111082554,-0.416553705931,3.56012961333e-08,0.0,38.9342575073,22.385389328,-13.0475978851,1.0"
38.9342575073,22.385389328,-13.0475978851,50.838471057,89.99999677,-104.544337658,T0,0,0,0,0,0,0,M0,"-1.41573970325e-08,-5.45683569442e-08,-1.0,0.0,0.416553705931,-0.909111082554,4.37113882867e-08,0.0,-0.909111022949,-0.416553676128,3.56012925806e-08,0.0,38.9342575073,22.385389328,-13.0475978851,1.0"
38.9342575073,22.385389328,-13.0475978851,89.9999971153,45.0000013238,-65.3828025164,T0,0,0,0,0,0,0,M0,"0.294547915459,-0.642838597298,-0.707106769085,0.0,0.294547975063,-0.642838597298,0.707106769085,0.0,-0.909111082554,-0.416553705931,3.56012961333e-08,0.0,38.9342575073,22.385389328,-13.0475978851,1.0"
38.9342575073,22.385389328,-13.0475978851,89.9999979602,-5.00895625533e-06,-65.3828004313,T0,0,0,0,0,0,0,M0,"0.416553705931,-0.909111082554,8.74227765735e-08,0.0,-4.05074374044e-09,9.43068627635e-08,1.0,0.0,-0.909111082554,-0.416553705931,3.56012961333e-08,0.0,38.9342575073,22.385389328,-13.0475978851,1.0"
38.9342575073,22.385389328,-13.0475978851,89.9999971153,-44.9999952047,-65.3827979422,T0,0,0,0,0,0,0,M0,"0.294548004866,-0.642838656902,0.70710670948,0.0,-0.294547885656,0.642838537693,0.70710682869,0.0,-0.909111082554,-0.416553705931,3.56012961333e-08,0.0,38.9342575073,22.385389328,-13.0475978851,1.0"
38.9342575073,22.385389328,-13.0475978851,-18.5186014603,-89.9999978488,43.1357953633,T0,0,0,0,0,0,0,M0,"2.7398185054e-08,2.56708929669e-08,1.0,0.0,-0.416553705931,0.909111082554,-1.19248806385e-08,0.0,-0.909111082554,-0.416553705931,3.56012961333e-08,0.0,38.9342575073,22.385389328,-13.0475978851,1.0"
38.9342575073,22.385389328,-13.0475978851,-89.9999971153,-45.0000110471,114.617199312,T0,0,0,0,0,0,0,M0,"-0.294547885656,0.642838478088,0.707106888294,0.0,-0.294548004866,0.642838716507,-0.707106649876,0.0,-0.909111082554,-0.416553705931,3.56012961333e-08,0.0,38.9342575073,22.385389328,-13.0475978851,1.0"
32.6830177307,13.9424753189,19.4460449219,-89.999993821,-0.0,-65.382791247,T0,0,0,0,0,0,0,M0,"0.416553854942,-0.909111022949,0.0,0.0,9.8042313823e-08,4.49228991783e-08,-1.0,0.0,0.909111022949,0.416553854942,1.07844151387e-07,0.0,32.6830177307,13.9424753189,19.4460449219,1.0"
32.6830177307,13.9424753189,19.4460449219,-89.9999912616,44.9999999985,-65.3827851371,T0,0,0,0,0,0,0,M0,"0.294548124075,-0.642838537693,-0.707106769085,0.0,-0.294547975063,0.642838597298,-0.707106769085,0.0,0.909111022949,0.416553854942,1.07844151387e-07,0.0,32.6830177307,13.9424753189,19.4460449219,1.0"
32.6830177307,13.9424753189,19.4460449219,22.0636966637,89.9999933327,46.6809016323,T0,0,0,0,0,0,0,M0,"7.98341659447e-08,8.46614014449e-08,-1.0,0.0,-0.416553854942,0.909111022949,4.37113882867e-08,0.0,0.909110963345,0.41655382514,1.07844144281e-07,0.0,32.6830177307,13.9424753189,19.4460449219,1.0"
32.6830177307,13.9424753189,19.4460449219,89.9999912616,45.0000003179,114.617201874,T0,0,0,0,0,0,0,M0,"-0.294547975063,0.642838597298,-0.707106769085,0.0,-0.294548124075,0.642838537693,0.707106769085,0.0,0.909111022949,0.416553854942,1.07844151387e-07,0.0,32.6830177307,13.9424753189,19.4460449219,1.0"
32.6830177307,13.9424753189,19.4460449219,89.999993821,-5.00895621584e-06,114.617208753,T0,0,0,0,0,0,0,M0,"-0.416553854942,0.909111022949,8.74227765735e-08,0.0,-6.16260180664e-08,-1.24399903711e-07,1.0,0.0,0.909111022949,0.416553854942,1.07844151387e-07,0.0,32.6830177307,13.9424753189,19.4460449219,1.0"
32.6830177307,13.9424753189,19.4460449219,89.9999912616,-44.9999948853,114.617215046,T0,0,0,0,0,0,0,M0,"-0.294548153877,0.642838597298,0.70710670948,0.0,0.294547945261,-0.642838537693,0.70710682869,0.0,0.909111022949,0.416553854942,1.07844151387e-07,0.0,32.6830177307,13.9424753189,19.4460449219,1.0"
